Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
Z1ENNCFBHUS20140803,Zagame's 13 East NPL,3/08/2014 12:00:00 AM,Round 16,State Football Centre - Pitch 2 (S),Northcote City FC,Box Hill United SC,0,2,,
Z1ENHUSDCS20140803,Zagame's 13 East NPL,3/08/2014 1:00:00 AM,Round 16,Olympic Village - Pitch 2,Heidelberg United SC,Dandenong City SC,1,2,,
Z1ENSMFGVSF20140803,Zagame's 13 East NPL,3/08/2014 1:15:00 AM,Round 16,Princes Park Caulfield - Pitch 1,South Melbourne FC,Goulburn Valley Suns FC,2,2,,
Z1ENFBLSWEF20140803,Zagame's 13 East NPL,3/08/2014 1:20:00 AM,Round 16,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Springvale White Eagles FC,0,3,,
Z1ENBHUSSMF20140810,Zagame's 13 East NPL,10/08/2014 12:00:00 AM,Round 17,East Burwood Reserve,Box Hill United SC,South Melbourne FC,4,2,,
Z1ENDCSFBL20140810,Zagame's 13 East NPL,10/08/2014 12:10:00 AM,Round 17,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,FC Bulleen Lions,4,1,,
Z1ENSWEFNCF20140810,Zagame's 13 East NPL,10/08/2014 1:20:00 AM,Round 17,White Eagles Stadium - Pitch 2,Springvale White Eagles FC,Northcote City FC,2,1,,
Z1ENGVSFHUS20140810,Zagame's 13 East NPL,10/08/2014 1:40:00 AM,Round 17,V.E. Vibert Reserve - Pitch 2,Goulburn Valley Suns FC,Heidelberg United SC,3,5,,
Z1ENNCFDCS20140817,Zagame's 13 East NPL,17/08/2014 12:00:00 AM,Round 18,State Football Centre - Pitch 2 (S),Northcote City FC,Dandenong City SC,2,2,,
Z1ENHUSSMF20140817,Zagame's 13 East NPL,17/08/2014 1:20:00 AM,Round 18,Olympic Village - Pitch 3,Heidelberg United SC,South Melbourne FC,3,0,,
Z1ENFBLGVSF20140817,Zagame's 13 East NPL,17/08/2014 1:20:00 AM,Round 18,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Goulburn Valley Suns FC,1,0,,
Z1ENSWEFBHUS20140817,Zagame's 13 East NPL,17/08/2014 1:20:00 AM,Round 18,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Box Hill United SC,1,2,,
Z1ENBHUSHUS20140824,Zagame's 13 East NPL,24/08/2014 12:10:00 AM,Round 19,East Burwood Reserve,Box Hill United SC,Heidelberg United SC,1,1,,
Z1ENDCSSWEF20140824,Zagame's 13 East NPL,24/08/2014 1:10:00 AM,Round 19,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Springvale White Eagles FC,2,1,,
Z1ENSMFFBL20140824,Zagame's 13 East NPL,24/08/2014 1:15:00 AM,Round 19,Princes Park Caulfield - Pitch 1,South Melbourne FC,FC Bulleen Lions,2,2,,
Z1ENGVSFNCF20140824,Zagame's 13 East NPL,24/08/2014 1:40:00 AM,Round 19,John McEwen Reserve - Pitch 2,Goulburn Valley Suns FC,Northcote City FC,3,1,,
Z1ENSWEFGVSF20140831,Zagame's 13 East NPL,31/08/2014 12:00:00 AM,Round 20,White Eagles Stadium - Pitch 2,Springvale White Eagles FC,Goulburn Valley Suns FC,2,1,,
Z1ENNCFSMF20140831,Zagame's 13 East NPL,31/08/2014 12:10:00 AM,Round 20,State Football Centre - Pitch 2 (S),Northcote City FC,South Melbourne FC,1,1,,
Z1ENDCSBHUS20140831,Zagame's 13 East NPL,31/08/2014 1:20:00 AM,Round 20,Frank Holohan Soccer Complex - Pitch 2,Dandenong City SC,Box Hill United SC,0,1,,
Z1ENFBLHUS20140831,Zagame's 13 East NPL,31/08/2014 1:20:00 AM,Round 20,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Heidelberg United SC,0,3,,
Z1ENSMFSWEF20140907,Zagame's 13 East NPL,7/09/2014 1:15:00 AM,Round 21,Princes Park Caulfield - Pitch 1,South Melbourne FC,Springvale White Eagles FC,3,3,,
Z1ENHUSNCF20140907,Zagame's 13 East NPL,7/09/2014 1:20:00 AM,Round 21,Olympic Village - Pitch 2,Heidelberg United SC,Northcote City FC,2,1,,
Z1ENFBLBHUS20140907,Zagame's 13 East NPL,7/09/2014 1:20:00 AM,Round 21,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Box Hill United SC,0,0,,
Z1ENGVSFDCS20140907,Zagame's 13 East NPL,7/09/2014 1:40:00 AM,Round 21,John McEwen Reserve - Pitch 1,Goulburn Valley Suns FC,Dandenong City SC,3,6,,
Z1ENNCFFBL20140914,Zagame's 13 East NPL,14/09/2014 12:00:00 AM,Round 22,State Football Centre - Pitch 2 (S),Northcote City FC,FC Bulleen Lions,1,0,,
Z1ENDCSSMF20140914,Zagame's 13 East NPL,14/09/2014 1:20:00 AM,Round 22,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,South Melbourne FC,3,4,,
Z1ENSWEFHUS20140914,Zagame's 13 East NPL,14/09/2014 1:20:00 AM,Round 22,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Heidelberg United SC,0,3,,
Z1ENBHUSGVSF20140914,Zagame's 13 East NPL,14/09/2014 4:00:00 AM,Round 22,State Football Centre - Pitch 1 (S),Box Hill United SC,Goulburn Valley Suns FC,0,1,,
