Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MSL2SMSKCF20130406,Men's State League 2 South-East,6/04/2013 4:00:00 AM,Round 1,Dallas Brooks Park - Pitch 1,Mornington SC,Kingston City FC,1,2,,
MSL2SDCSNPUF20130406,Men's State League 2 South-East,6/04/2013 4:00:00 AM,Round 1,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Noble Park United FC,2,1,,
MSL2SLSDVUS20130406,Men's State League 2 South-East,6/04/2013 4:00:00 AM,Round 1,Lawton Park Reserve - Pitch 1,Langwarrin SC,Diamond Valley United SC ,5,0,,
MSL2SFCHSWEF20130406,Men's State League 2 South-East,6/04/2013 4:00:00 AM,Round 1,Quarries Park,FC Clifton Hill,Springvale White Eagles FC,1,1,,
MSL2SMPSMCF20130406,Men's State League 2 South-East,6/04/2013 8:00:00 AM,Round 1,Ronald Reserve,Morwell Pegasus SC,Malvern City FC,2,2,,
MSL2SSSSDS20130406,Men's State League 2 South-East,6/04/2013 8:00:00 AM,Round 1,Warner Reserve - Springvale Pitch 1,South Springvale SC,Doveton SC,1,2,,
MSL2SNPUFFCH20130413,Men's State League 2 South-East,13/04/2013 5:00:00 AM,Round 2,Parkfield Reserve,Noble Park United FC,FC Clifton Hill,2,4,,
MSL2SDVUSMCF20130413,Men's State League 2 South-East,13/04/2013 5:00:00 AM,Round 2,Partingtons Flat,Diamond Valley United SC ,Malvern City FC,0,0,,
MSL2SDSLS20130413,Men's State League 2 South-East,13/04/2013 5:00:00 AM,Round 2,Waratah Reserve - Pitch 2,Doveton SC,Langwarrin SC,2,4,,
MSL2SSWEFMS20130413,Men's State League 2 South-East,13/04/2013 5:00:00 AM,Round 2,White Eagles Stadium - Serbian Sports Centre - Pitch 1,Springvale White Eagles FC,Mornington SC,1,3,,
MSL2SMPSDCS20130413,Men's State League 2 South-East,13/04/2013 9:00:00 AM,Round 2,Ronald Reserve,Morwell Pegasus SC,Dandenong City SC,2,2,,
MSL2SKCFSSS20130415,Men's State League 2 South-East,15/04/2013 10:30:00 AM,Round 2,The Grange Reserve,Kingston City FC,South Springvale SC,3,2,,
MSL2SDCSDVUS20130420,Men's State League 2 South-East,20/04/2013 5:00:00 AM,Round 3,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Diamond Valley United SC ,2,0,,
MSL2SMCFDS20130420,Men's State League 2 South-East,20/04/2013 5:00:00 AM,Round 3,Kooyong Park ,Malvern City FC,Doveton SC,3,1,,
MSL2SLSKCF20130420,Men's State League 2 South-East,20/04/2013 5:00:00 AM,Round 3,Lawton Park Reserve - Pitch 1,Langwarrin SC,Kingston City FC,3,2,,
MSL2SNPUFSWEF20130420,Men's State League 2 South-East,20/04/2013 5:00:00 AM,Round 3,Parkfield Reserve,Noble Park United FC,Springvale White Eagles FC,1,1,,
MSL2SFCHMPS20130420,Men's State League 2 South-East,20/04/2013 5:00:00 AM,Round 3,Quarries Park,FC Clifton Hill,Morwell Pegasus SC,0,2,,
MSL2SSSSMS20130420,Men's State League 2 South-East,20/04/2013 9:00:00 AM,Round 3,Warner Reserve - Springvale Pitch 1,South Springvale SC,Mornington SC,4,2,,
MSL2SMSLS20130427,Men's State League 2 South-East,27/04/2013 5:00:00 AM,Round 4,Dallas Brooks Park - Pitch 1,Mornington SC,Langwarrin SC,0,2,,
