Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartBoysMetropolitan17BEKJAG20150726,Sportsmart Boys' Metropolitan 17B,26/07/2015 1:30:00 AM,Round 14,Hislop Reserve - Junior 1,East Kew JFC,Ashburton Green ,,,,
SportsmartBoysMetropolitan17BSUJSDVUS20150726,Sportsmart Boys' Metropolitan 17B,26/07/2015 3:45:00 AM,Round 14,Langama Park - Pitch 3,Sunbury United Junior SC,Diamond Valley United SC,,,,
SportsmartBoysMetropolitan17BCUFWHFU20150726,Sportsmart Boys' Metropolitan 17B,26/07/2015 5:00:00 AM,Round 14,Jack Edwards Reserve - (S),Chisholm United FC,Watsonia Heights FC U17C,,,,
SportsmartBoysMetropolitan17BEKJDVUS20150802,Sportsmart Boys' Metropolitan 17B,2/08/2015 1:30:00 AM,Round 15,Hislop Reserve - Junior 1,East Kew JFC,Diamond Valley United SC,,,,
SportsmartBoysMetropolitan17BAGWHFU20150802,Sportsmart Boys' Metropolitan 17B,2/08/2015 3:45:00 AM,Round 15,Highfield Park - North East - Junior,Ashburton Green ,Watsonia Heights FC U17C,,,,
SportsmartBoysMetropolitan17BSUJSPCF20150802,Sportsmart Boys' Metropolitan 17B,2/08/2015 3:45:00 AM,Round 15,Langama Park - Pitch 3,Sunbury United Junior SC,Point Cook FC ,,,,
SportsmartBoysMetropolitan17BMUBFCUF20150802,Sportsmart Boys' Metropolitan 17B,2/08/2015 5:15:00 AM,Round 15,Timber Ridge Reserve - Pitch 1,Manningham United Blues FC,Chisholm United FC,,,,
SportsmartBoysMetropolitan17BWHFUMUBF20150809,Sportsmart Boys' Metropolitan 17B,9/08/2015 3:00:00 AM,Round 16,Gabonia Avenue Reserve,Watsonia Heights FC U17C,Manningham United Blues FC,,,,
SportsmartBoysMetropolitan17BPCFEKJ20150809,Sportsmart Boys' Metropolitan 17B,9/08/2015 5:15:00 AM,Round 16,Saltwater Reserve - Pitch 2,Point Cook FC ,East Kew JFC,,,,
SportsmartBoysMetropolitan17BDVUSAG20150809,Sportsmart Boys' Metropolitan 17B,9/08/2015 5:15:00 AM,Round 16,Central Park Greensborough,Diamond Valley United SC,Ashburton Green ,,,,
SportsmartBoysMetropolitan17BCUFSUJS20150809,Sportsmart Boys' Metropolitan 17B,9/08/2015 5:30:00 AM,Round 16,Jack Edwards Reserve - (S),Chisholm United FC,Sunbury United Junior SC,,,,
SportsmartBoysMetropolitan17BEKJCUF20150823,Sportsmart Boys' Metropolitan 17B,23/08/2015 1:30:00 AM,Round 17,Hislop Reserve - Junior 1,East Kew JFC,Chisholm United FC,,,,
SportsmartBoysMetropolitan17BSUJSMUBF20150823,Sportsmart Boys' Metropolitan 17B,23/08/2015 3:45:00 AM,Round 17,Langama Park - Pitch 3,Sunbury United Junior SC,Manningham United Blues FC,,,,
SportsmartBoysMetropolitan17BAGPCF20150823,Sportsmart Boys' Metropolitan 17B,23/08/2015 3:45:00 AM,Round 17,Highfield Park - North East - Junior,Ashburton Green ,Point Cook FC ,,,,
SportsmartBoysMetropolitan17BDVUSWHFU20150823,Sportsmart Boys' Metropolitan 17B,23/08/2015 5:00:00 AM,Round 17,Central Park Greensborough,Diamond Valley United SC,Watsonia Heights FC U17C,,,,
SportsmartBoysMetropolitan17BMUBFEKJ20150830,Sportsmart Boys' Metropolitan 17B,30/08/2015 2:00:00 AM,Round 18,Timber Ridge Reserve - Pitch 1,Manningham United Blues FC,East Kew JFC,,,,
SportsmartBoysMetropolitan17BWHFUSUJS20150830,Sportsmart Boys' Metropolitan 17B,30/08/2015 5:15:00 AM,Round 18,Elder Street Reserve - Pitch 1 Junior ,Watsonia Heights FC U17C,Sunbury United Junior SC,,,,
SportsmartBoysMetropolitan17BCUFAG20150830,Sportsmart Boys' Metropolitan 17B,30/08/2015 5:15:00 AM,Round 18,Jack Edwards Reserve,Chisholm United FC,Ashburton Green ,,,,
SportsmartBoysMetropolitan17BPCFDVUS20150830,Sportsmart Boys' Metropolitan 17B,30/08/2015 5:15:00 AM,Round 18,Saltwater Reserve - Pitch 2,Point Cook FC ,Diamond Valley United SC,,,,
