Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE1KBEFB1KPBEFB1KG20140426,Boys' Saturday East 10 Kangaroos,25/04/2014 11:30:00 PM,Round 1,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10 Kangas Purple,Boroondara Eagles FC Boys 10 Kangas Gold,,,,
BSE1KAUSTUFG20140426,Boys' Saturday East 10 Kangaroos,26/04/2014 12:10:00 AM,Round 1,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC,Templestowe United FC Gold,,,,
BSE1KCCFRS20140426,Boys' Saturday East 10 Kangaroos,26/04/2014 12:30:00 AM,Round 1,Kevin Bartlett Reserve - Fletcher 1,Collingwood City FC,Riversdale SC,,,,
BSE1KDRSRS20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 12:00:00 AM,Round 2,Anderson Park,Doncaster Rovers SC,Riversdale SC,,,,
BSE1KBHUSBCCF20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 12:00:00 AM,Round 2,Bill Stewart Athletics Field,Box Hill United SC Blue,Collingwood City FC,,,,
BSE1KRCFBEFB1KG20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 1:00:00 AM,Round 2,Jubilee Park (S),Ringwood City FC,Boroondara Eagles FC Boys 10 Kangas Gold,,,,
BSE1KWUSBHUSS20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 1:00:00 AM,Round 2,Terrara Park,Whitehorse United SC,Box Hill United SC Silver,,,,
BSE1KTUFMBEFB1KP20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 2:30:00 AM,Round 2,Veneto Club - David Barro Stadium (S),Templestowe United FC Maroon,Boroondara Eagles FC Boys 10 Kangas Purple,,,,
BSE1KTUFGAUS20140503,Boys' Saturday East 10 Kangaroos,3/05/2014 2:30:00 AM,Round 2,Veneto Club - David Barro Stadium (S),Templestowe United FC Gold,Ashburton United SC,,,,
BSE1KRSWUS20140510,Boys' Saturday East 10 Kangaroos,9/05/2014 11:00:00 PM,Round 3,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Whitehorse United SC,,,,
