Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE1WDRSCCF20140426,Boys' Saturday East 10 Wallabies,26/04/2014 12:00:00 AM,Round 1,Anderson Park,Doncaster Rovers SC,Collingwood City FC,,,,
BSE1WCCASAUSY20140426,Boys' Saturday East 10 Wallabies,26/04/2014 12:00:00 AM,Round 1,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC,Ashburton United SC Yellow,,,,
BSE1WWUSRF20140426,Boys' Saturday East 10 Wallabies,26/04/2014 12:00:00 AM,Round 1,Terrara Park,Whitehorse United SC,Richmond FC,,,,
BSE1WKCFGWUG20140426,Boys' Saturday East 10 Wallabies,26/04/2014 12:10:00 AM,Round 1,Egan Lee Reserve - Pitch 1,Knox City FC,Glen Waverley u10 Gunners,,,,
BSE1WGWUURCF20140426,Boys' Saturday East 10 Wallabies,26/04/2014 1:00:00 AM,Round 1,Capital Reserve,Glen Waverley u10 United,Ringwood City FC,,,,
BSE1WCCFAUSG20140503,Boys' Saturday East 10 Wallabies,2/05/2014 11:30:00 PM,Round 2,Kevin Bartlett Reserve - Fletcher 1,Collingwood City FC,Ashburton United SC Green,,,,
BSE1WGWUGGWUU20140503,Boys' Saturday East 10 Wallabies,3/05/2014 12:00:00 AM,Round 2,Capital Reserve,Glen Waverley u10 Gunners,Glen Waverley u10 United,,,,
BSE1WRFKCF20140503,Boys' Saturday East 10 Wallabies,3/05/2014 12:00:00 AM,Round 2,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Knox City FC,,,,
BSE1WRCFCCAS20140503,Boys' Saturday East 10 Wallabies,3/05/2014 1:00:00 AM,Round 2,Jubilee Park (S),Ringwood City FC,Croydon City Arrows SC,,,,
BSE1WAUSYDRS20140503,Boys' Saturday East 10 Wallabies,3/05/2014 1:15:00 AM,Round 2,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Yellow,Doncaster Rovers SC,,,,
BSE1WDRSRCF20140510,Boys' Saturday East 10 Wallabies,10/05/2014 12:00:00 AM,Round 3,Anderson Park,Doncaster Rovers SC,Ringwood City FC,,,,
BSE1WRFGWUG20140510,Boys' Saturday East 10 Wallabies,10/05/2014 12:00:00 AM,Round 3,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Glen Waverley u10 Gunners,,,,
BSE1WWUSCCF20140510,Boys' Saturday East 10 Wallabies,10/05/2014 12:00:00 AM,Round 3,Terrara Park,Whitehorse United SC,Collingwood City FC,,,,
BSE1WAUSGAUSY20140510,Boys' Saturday East 10 Wallabies,10/05/2014 12:10:00 AM,Round 3,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Green,Ashburton United SC Yellow,,,,
BSE1WCCASGWUU20140510,Boys' Saturday East 10 Wallabies,10/05/2014 1:00:00 AM,Round 3,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC,Glen Waverley u10 United,,,,
BSE1WCCFKCF20140524,Boys' Saturday East 10 Wallabies,23/05/2014 11:30:00 PM,Round 4,Kevin Bartlett Reserve - Fletcher 1,Collingwood City FC,Knox City FC,,,,
BSE1WGWUGCCAS20140524,Boys' Saturday East 10 Wallabies,24/05/2014 12:45:00 AM,Round 4,Capital Reserve,Glen Waverley u10 Gunners,Croydon City Arrows SC,,,,
BSE1WRCFAUSG20140524,Boys' Saturday East 10 Wallabies,24/05/2014 1:00:00 AM,Round 4,Jubilee Park (S),Ringwood City FC,Ashburton United SC Green,,,,
BSE1WAUSYWUS20140524,Boys' Saturday East 10 Wallabies,24/05/2014 1:15:00 AM,Round 4,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Yellow,Whitehorse United SC,,,,
BSE1WGWUUDRS20140524,Boys' Saturday East 10 Wallabies,24/05/2014 1:45:00 AM,Round 4,Capital Reserve,Glen Waverley u10 United,Doncaster Rovers SC,,,,
BSE1WDRSCCAS20140531,Boys' Saturday East 10 Wallabies,31/05/2014 12:00:00 AM,Round 5,Anderson Park,Doncaster Rovers SC,Croydon City Arrows SC,,,,
BSE1WRFCCF20140531,Boys' Saturday East 10 Wallabies,31/05/2014 12:00:00 AM,Round 5,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Collingwood City FC,,,,
BSE1WWUSRCF20140531,Boys' Saturday East 10 Wallabies,31/05/2014 12:00:00 AM,Round 5,Terrara Park,Whitehorse United SC,Ringwood City FC,,,,
BSE1WKCFAUSY20140531,Boys' Saturday East 10 Wallabies,31/05/2014 12:10:00 AM,Round 5,Egan Lee Reserve - Pitch 1,Knox City FC,Ashburton United SC Yellow,,,,
BSE1WAUSGGWUU20140531,Boys' Saturday East 10 Wallabies,31/05/2014 1:15:00 AM,Round 5,Warner Reserve - SSF 3 (U9) Ashburton,Ashburton United SC Green,Glen Waverley u10 United,,,,
BSE1WGWUGDRS20140607,Boys' Saturday East 10 Wallabies,6/06/2014 11:00:00 PM,Round 6,Capital Reserve,Glen Waverley u10 Gunners,Doncaster Rovers SC,,,,
BSE1WAUSYRF20140607,Boys' Saturday East 10 Wallabies,6/06/2014 11:00:00 PM,Round 6,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Yellow,Richmond FC,,,,
BSE1WGWUUWUS20140607,Boys' Saturday East 10 Wallabies,7/06/2014 12:00:00 AM,Round 6,Capital Reserve,Glen Waverley u10 United,Whitehorse United SC,,,,
BSE1WCCASAUSG20140607,Boys' Saturday East 10 Wallabies,7/06/2014 1:00:00 AM,Round 6,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC,Ashburton United SC Green,,,,
BSE1WRCFKCF20140607,Boys' Saturday East 10 Wallabies,7/06/2014 1:00:00 AM,Round 6,Jubilee Park (S),Ringwood City FC,Knox City FC,,,,
BSE1WCCFGWUG20140614,Boys' Saturday East 10 Wallabies,13/06/2014 11:30:00 PM,Round 7,Kevin Bartlett Reserve - Fletcher 1,Collingwood City FC,Glen Waverley u10 Gunners,,,,
BSE1WRFRCF20140614,Boys' Saturday East 10 Wallabies,14/06/2014 12:00:00 AM,Round 7,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Ringwood City FC,,,,
BSE1WWUSCCAS20140614,Boys' Saturday East 10 Wallabies,14/06/2014 12:00:00 AM,Round 7,Terrara Park,Whitehorse United SC,Croydon City Arrows SC,,,,
BSE1WKCFGWUU20140614,Boys' Saturday East 10 Wallabies,14/06/2014 12:10:00 AM,Round 7,Egan Lee Reserve - Pitch 1,Knox City FC,Glen Waverley u10 United,,,,
BSE1WAUSGDRS20140614,Boys' Saturday East 10 Wallabies,14/06/2014 1:15:00 AM,Round 7,Ashburton Park,Ashburton United SC Green,Doncaster Rovers SC,,,,
BSE1WDRSWUS20140621,Boys' Saturday East 10 Wallabies,20/06/2014 11:00:00 PM,Round 8,Anderson Park,Doncaster Rovers SC,Whitehorse United SC,,,,
