Address1,FullAddress,Address2,Address3,Suburb,State,Postcode,Latitude,Longitude,GooglePlacesId
Brandon Park Reserve - Pitch 1,"Brandon Park Reserve, Glen Waverley VIC 3150, Australia",,,Glen Waverley,VIC,3150,-37.9021845,145.164834,ChIJcbfgemEV1moRgJwxBXZWBA8
Capp Reserve,"A.h. Capp Reserve, Preston VIC 3072, Australia",,,Preston,VIC,3072,-37.7498332,144.9821806,ChIJU2lE771E1moRUCQyBXZWBA8
Brandon Park Reserve - Pitch 2,"Brandon Park Reserve, Glen Waverley VIC 3150, Australia",,,Glen Waverley,VIC,3150,-37.9021845,145.164834,ChIJcbfgemEV1moRgJwxBXZWBA8
JJ Holland Park - SSF 3 (U9),"J J Holland Park, Kensington VIC 3031, Australia",,,Kensington,VIC,3031,-37.7977887,144.9247093,ChIJYX9pkQxd1moRMIIxBXZWBA8
De Chene Reserve - Pitch 1,"De Chene Reserve, Coburg VIC 3058, Australia",,,Coburg,VIC,3058,-37.740073,144.9783939,ChIJo0iLT8FE1moREOUxBXZWBA8
Coulson Reserve - Junior,"Coulson Reserve Soccer Pavilion, 15 Heidelberg Road, Clifton Hill VIC 3068, Australia",15 Heidelberg Road,,Clifton Hill,VIC,3068,-37.7864747,144.9961089,ChIJfb8hMw1D1moRYG7u5qzG6TY
JJ Holland Park - SSF 1 (U11),"J J Holland Park, Kensington VIC 3031, Australia",,,Kensington,VIC,3031,-37.7977887,144.9247093,ChIJYX9pkQxd1moRMIIxBXZWBA8
De Chene Reserve - Pitch 2,"De Chene Reserve, Coburg VIC 3058, Australia",,,Coburg,VIC,3058,-37.740073,144.9783939,ChIJo0iLT8FE1moREOUxBXZWBA8
Hillsview Recreation Reserve - Pitch 2,"Hillsview Recreation Reserve, 100 The Great Eastern Way, South Morang VIC 3752, Australia",100 The Great Eastern Way,,South Morang,VIC,3752,-37.6403922,145.0781564,ChIJfTei79tL1moR7tj_EOgqulY
Keilor Park Recreation Reserve - Pitch 3,"Keilor Park Recreation Reserve, Keilor Park VIC 3042, Australia",,,Keilor Park,VIC,3042,-37.714453,144.8497461,ChIJZbwkJEpZ1moRcG0xBXZWBA8
Saltwater Reserve - SSF1 (U11),"Saltwater Reserve, Point Cook VIC 3030, Australia",,,Point Cook,VIC,3030,-37.9079973,144.7556219,ChIJS4eGKnaI1moRXPV4WZaLlGk
JJ Holland Park (S),"J J Holland Park, Kensington VIC 3031, Australia",,,Kensington,VIC,3031,-37.7977887,144.9247093,ChIJYX9pkQxd1moRMIIxBXZWBA8
JJ Holland Park - SSF 2 (U11),"J J Holland Park, Kensington VIC 3031, Australia",,,Kensington,VIC,3031,-37.7977887,144.9247093,ChIJYX9pkQxd1moRMIIxBXZWBA8
Keilor Park Recreation Reserve - Pitch 2,"Keilor Park Recreation Reserve, Keilor Park VIC 3042, Australia",,,Keilor Park,VIC,3042,-37.714453,144.8497461,ChIJZbwkJEpZ1moRcG0xBXZWBA8
Dixon Field Reserve - SSF (U9) 2,"Dixon Field Reserve, Gisborne VIC 3437, Australia",,,Gisborne,VIC,3437,-37.4834331,144.582768,ChIJhZMWepnk1moREGAxBXZWBA8
Dixon Field Reserve - SSF (U11),"Dixon Field Reserve, Gisborne VIC 3437, Australia",,,Gisborne,VIC,3437,-37.4834331,144.582768,ChIJhZMWepnk1moREGAxBXZWBA8
Kooyong Park - SSF,"Sir Zelman Cowen Park, Kooyong VIC 3144, Australia",,,Kooyong,VIC,3144,-37.8396156,145.0376243,ChIJ4dCyIxdC1moRINoxBXZWBA8
Dixon Field Reserve - SSF (U9) 1,"Dixon Field Reserve, Gisborne VIC 3437, Australia",,,Gisborne,VIC,3437,-37.4834331,144.582768,ChIJhZMWepnk1moREGAxBXZWBA8
Kooyong Park - Junior,"Sir Zelman Cowen Park, Kooyong VIC 3144, Australia",,,Kooyong,VIC,3144,-37.8396156,145.0376243,ChIJ4dCyIxdC1moRINoxBXZWBA8
Dendy Park - SSF Y (U11),"Dendy Park, Brighton East VIC 3187, Australia",,,Brighton East,VIC,3187,-37.9251788,145.0231572,ChIJo5mbxjRp1moRIKExBXZWBA8
Browns Reserve - SSF,"Browns Reserve, Aspendale VIC 3195, Australia",,,Aspendale,VIC,3195,-38.0121494,145.0999988,ChIJC2bd8XNt1moRcK4xBXZWBA8
Dendy Park - SSF Z (U11),"Dendy Park, Brighton East VIC 3187, Australia",,,Brighton East,VIC,3187,-37.9251788,145.0231572,ChIJo5mbxjRp1moRIKExBXZWBA8
Skye Recreational Reserve - Pitch 1,"Skye Recreation Reserve, Skye VIC 3977, Australia",,,Skye,VIC,3977,-38.1193213,145.2197065,ChIJwZ-08SMM1moRwLoxBXZWBA8
