Gear,Brand,Model,Surface,Colour,Size
Boots,Nike,Elastico Superfly,Firm Ground,Midnight Fog/White/Volt,7
Boots,Nike,Elastico Superfly,Indoor,Midnight Fog/White/Volt,8.5
Goalkeeper Gloves,Adidas,Predator Zones Pro Manuel Neuer,N/A,White/Black/Solar Red,12.5
Shin Pads,Nike,Neymar Mercurial Lite,N/A,Chrome,S
